,title,query
148,"Điều 471: Không thay đổi thẩm quyền giải quyết của Tòa án Vụ việc dân sự có yếu tố nước ngoài đã được một Tòa án Việt Nam thụ lý giải quyết theo quy định về thẩm quyền của Bộ luật này thì phải được Tòa án đó tiếp tục giải quyết mặc dù trong quá trình giải quyết có sự thay đổi quốc tịch, nơi cư trú, địa chỉ của các đương sự hoặc có tình tiết mới làm cho vụ việc dân sự đó thuộc thẩm quyền của Tòa án khác của Việt Nam hoặc của Tòa án nước ngoài","Trong trường hợp có sự thay đổi về quốc tịch và quốc gia thụ lý không còn thẩm quyền, liệu có quy trình để Tòa án chuyển giao hồ sơ một cách nhanh chóng và hiệu quả?"
166,"Điều 246: Công nhận sự thoả thuận của các đương sự Chủ tọa phiên tòa hỏi các đương sự có thoả thuận được với nhau về việc giải quyết vụ án hay không trường hợp các đương sự thoả thuận được với nhau về việc giải quyết vụ án và thoả thuận của họ là tự nguyện, không vi phạm điều cấm của luật và không trái đạo đức xã hội thì Hội đồng xét xử ra quyết định công nhận sự thoả thuận của các đương sự về việc giải quyết vụ án: Quyết định công nhận sự thoả thuận của các đương sự về việc giải quyết vụ án có hiệu lực pháp luật theo quy định tại Điều 213 của Bộ luật này",Có quy định nào về thời hạn và thủ tục thông báo khi Hội đồng xét xử ra quyết định công nhận thoả thuận không?
344,"Điều 326: Căn cứ, điều kiện để kháng nghị theo thủ tục giám đốc thẩm Bản án, quyết định của Tòa án đã có hiệu lực pháp luật bị kháng nghị theo thủ tục giám đốc thẩm khi có một trong những căn cứ sau đây Kết luận trong bản án, quyết định không phù hợp với những tình tiết khách quan của vụ án gây thiệt hại đến quyền, lợi ích hợp pháp của đương sự Có vi phạm nghiêm trọng thủ tục tố tụng làm cho đương sự không thực hiện được quyền, nghĩa vụ tố tụng của mình, dẫn đến quyền, lợi ích hợp pháp của họ không được bảo vệ theo đúng quy định của pháp luật Có sai lầm trong việc áp dụng pháp luật dẫn đến việc ra bản án, quyết định không đúng, gây thiệt hại đến quyền, lợi ích hợp pháp của đương sự, xâm phạm đến lợi ích công cộng, lợi ích của Nhà nước, quyền, lợi ích hợp pháp của người thứ ba: Người có thẩm quyền kháng nghị quy định tại Điều 331 của Bộ luật này kháng nghị bản án, quyết định của Tòa án đã có hiệu lực pháp luật khi có một trong các căn cứ quy định tại khoản 1 Điều này và có đơn đề nghị theo quy định tại Điều 328 của Bộ luật này hoặc có thông báo, kiến nghị theo quy định tại khoản 2 và khoản 3 Điều 327 của Bộ luật này trường hợp xâm phạm đến lợi ích công cộng, lợi ích của Nhà nước, quyền, lợi ích hợp pháp của người thứ ba thì không cần phải có đơn đề nghị",Điều kiện và quy trình kháng nghị theo thủ tục giám đốc thẩm là gì?
349,"Điều 326: Căn cứ, điều kiện để kháng nghị theo thủ tục giám đốc thẩm Bản án, quyết định của Tòa án đã có hiệu lực pháp luật bị kháng nghị theo thủ tục giám đốc thẩm khi có một trong những căn cứ sau đây Kết luận trong bản án, quyết định không phù hợp với những tình tiết khách quan của vụ án gây thiệt hại đến quyền, lợi ích hợp pháp của đương sự Có vi phạm nghiêm trọng thủ tục tố tụng làm cho đương sự không thực hiện được quyền, nghĩa vụ tố tụng của mình, dẫn đến quyền, lợi ích hợp pháp của họ không được bảo vệ theo đúng quy định của pháp luật Có sai lầm trong việc áp dụng pháp luật dẫn đến việc ra bản án, quyết định không đúng, gây thiệt hại đến quyền, lợi ích hợp pháp của đương sự, xâm phạm đến lợi ích công cộng, lợi ích của Nhà nước, quyền, lợi ích hợp pháp của người thứ ba: Người có thẩm quyền kháng nghị quy định tại Điều 331 của Bộ luật này kháng nghị bản án, quyết định của Tòa án đã có hiệu lực pháp luật khi có một trong các căn cứ quy định tại khoản 1 Điều này và có đơn đề nghị theo quy định tại Điều 328 của Bộ luật này hoặc có thông báo, kiến nghị theo quy định tại khoản 2 và khoản 3 Điều 327 của Bộ luật này trường hợp xâm phạm đến lợi ích công cộng, lợi ích của Nhà nước, quyền, lợi ích hợp pháp của người thứ ba thì không cần phải có đơn đề nghị",Làm thế nào để đảm bảo tính công bằng và đáng tin cậy trong quá trình giám đốc thẩm khi kháng nghị bản án hoặc quyết định?
365,"Điều 110: Bảo vệ chứng cứ Trường hợp chứng cứ đang bị tiêu huỷ, có nguy cơ bị tiêu hủy hoặc sau này khó có thể thu thập được thì đương sự có quyền đề nghị Tòa án quyết định áp dụng biện pháp cần thiết để bảo toàn chứng cứ: Đề nghị của đương sự phải thể hiện bằng văn bản: Tòa án có thể quyết định áp dụng một hoặc một số trong các biện pháp niêm phong, thu giữ, chụp ảnh, ghi âm, ghi hình, phục chế, khám nghiệm, lập biên bản và các biện pháp khác: Trường hợp người làm chứng bị lừa dối, đe dọa, cưỡng ép hoặc mua chuộc để không cung cấp chứng cứ hoặc cung cấp chứng cứ sai sự thật thì Tòa án có quyền quyết định buộc người có hành vi lừa dối, đe dọa, cưỡng ép hoặc mua chuộc phải chấm dứt hành vi đó: Trường hợp hành vi đó có dấu hiệu tội phạm thì Tòa án yêu cầu Viện kiểm sát xem xét về trách nhiệm hình sự","Khi hành vi lừa dối, đe dọa, cưỡng ép hoặc mua chuộc có dấu hiệu tội phạm, Tòa án có thẩm quyền yêu cầu ai xem xét trách nhiệm hình sự?"
113,"Điều 462: Xét kháng cáo, kháng nghị Tòa án nhân dân cấp cao xét lại quyết định của Tòa án nhân dân cấp tỉnh bị kháng cáo, kháng nghị trong thời hạn 01 tháng, kể từ ngày nhận được hồ sơ trường hợp cần phải yêu cầu giải thích theo quy định tại khoản 1 Điều 457 của Bộ luật này thì thời hạn này được kéo dài, nhưng không quá 02 tháng: Thành phần Hội đồng xét quyết định bị kháng cáo, kháng nghị gồm ba Thẩm phán, trong đó có một Thẩm phán làm chủ tọa theo sự phân công của Chánh án Tòa án nhân dân cấp cao: Phiên họp xét lại quyết định bị kháng cáo, kháng nghị được tiến hành như phiên họp xét đơn yêu cầu quy định tại Điều 458 của Bộ luật này: Hội đồng xét quyết định bị kháng cáo, kháng nghị có các quyền sau đây Giữ nguyên quyết định của Tòa án cấp sơ thẩm Sửa một phần hoặc toàn bộ quyết định của Tòa án cấp sơ thẩm Tạm đình chỉ giải quyết kháng cáo, kháng nghị Đình chỉ giải quyết kháng cáo, kháng nghị Hủy quyết định của Tòa án cấp sơ thẩm và chuyển hồ sơ cho Tòa án cấp sơ thẩm để giải quyết lại theo thủ tục sơ thẩm Hủy quyết định sơ thẩm và đình chỉ giải quyết đơn yêu cầu khi có một trong các căn cứ quy định tại khoản 3 Điều 457 của Bộ luật này: Hội đồng xét quyết định bị kháng cáo, kháng nghị đình chỉ giải quyết kháng cáo, kháng nghị trong các trường hợp sau đây Đương sự kháng cáo rút toàn bộ kháng cáo hoặc Viện kiểm sát rút toàn bộ kháng nghị Đương sự kháng cáo đã được triệu tập hợp lệ lần thứ hai mà vẫn vắng mặt và không có đơn yêu cầu giải quyết vắng mặt: Trường hợp đương sự kháng cáo rút toàn bộ kháng cáo hoặc Viện kiểm sát rút toàn bộ kháng nghị trước khi Tòa án cấp phúc thẩm ra quyết định mở phiên họp xét kháng cáo, kháng nghị thì Thẩm phán được phân công làm chủ tọa phiên họp ra quyết định đình chỉ giải quyết kháng cáo, kháng nghị: Trường hợp đương sự kháng cáo rút toàn bộ kháng cáo, Viện kiểm sát rút toàn bộ kháng nghị sau khi Tòa án cấp phúc thẩm ra quyết định mở phiên họp xét kháng cáo, kháng nghị thì Hội đồng xét kháng cáo, kháng nghị ra quyết định đình chỉ giải quyết xét kháng cáo, kháng nghị: Trong các trường hợp này, quyết định của Tòa án cấp sơ thẩm có hiệu lực pháp luật từ ngày Tòa án cấp phúc thẩm ra quyết định đình chỉ xét kháng cáo, kháng nghị: Hội đồng xét quyết định bị kháng cáo, kháng nghị hủy quyết định của Tòa án cấp sơ thẩm và chuyển hồ sơ cho Tòa án cấp sơ thẩm để giải quyết lại theo thủ tục sơ thẩm trong các trường hợp sau đây Việc chứng minh của đương sự phản đối việc công nhận phán quyết của Trọng tài nước ngoài hoặc căn cứ để Tòa án cấp sơ thẩm ra quyết định công nhận hoặc không công nhận phán quyết của Trọng tài nước ngoài không đúng quy định tại Chương XXXV và Chương XXXVII của Bộ luật này, các quy định khác có liên quan của pháp luật Việt Nam và điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên Thành phần của Hội đồng xét đơn của Tòa án cấp sơ thẩm không đúng quy định tại Chương XXXVII của Bộ luật này hoặc có vi phạm nghiêm trọng khác về thủ tục tố tụng ảnh hưởng đến quyền và lợi ích hợp pháp của đương sự: Quyết định của Tòa án nhân dân cấp cao có hiệu lực pháp luật kể từ ngày ra quyết định và có thể bị kháng nghị theo thủ tục giám đốc thẩm, tái thẩm theo quy định của Bộ luật này","Nếu có một Thẩm phán làm chủ tọa trong Hội đồng xét quyết định bị kháng cáo, kháng nghị, liệu vai trò của Thẩm phán này có thể ảnh hưởng đến quyết định cuối cùng hay không, và tại sao có sự phân công của Chánh án Tòa án nhân dân cấp cao?"
189,"Điều 110: Bảo vệ chứng cứ Trường hợp chứng cứ đang bị tiêu huỷ, có nguy cơ bị tiêu hủy hoặc sau này khó có thể thu thập được thì đương sự có quyền đề nghị Tòa án quyết định áp dụng biện pháp cần thiết để bảo toàn chứng cứ: Đề nghị của đương sự phải thể hiện bằng văn bản: Tòa án có thể quyết định áp dụng một hoặc một số trong các biện pháp niêm phong, thu giữ, chụp ảnh, ghi âm, ghi hình, phục chế, khám nghiệm, lập biên bản và các biện pháp khác: Trường hợp người làm chứng bị lừa dối, đe dọa, cưỡng ép hoặc mua chuộc để không cung cấp chứng cứ hoặc cung cấp chứng cứ sai sự thật thì Tòa án có quyền quyết định buộc người có hành vi lừa dối, đe dọa, cưỡng ép hoặc mua chuộc phải chấm dứt hành vi đó: Trường hợp hành vi đó có dấu hiệu tội phạm thì Tòa án yêu cầu Viện kiểm sát xem xét về trách nhiệm hình sự",Biện pháp niêm phong và thu giữ chứng cứ có điều kiện gì theo Điều 110?
288,"Điều 352: Căn cứ để kháng nghị theo thủ tục tái thẩm Bản án, quyết định của Tòa án đã có hiệu lực pháp luật bị kháng nghị theo thủ tục tái thẩm khi có một trong những căn cứ sau đây Mới phát hiện được tình tiết quan trọng của vụ án mà đương sự đã không thể biết được trong quá trình giải quyết vụ án Có cơ sở chứng minh kết luận của người giám định, lời dịch của người phiên dịch không đúng sự thật hoặc có giả mạo chứng cứ Thẩm phán, Hội thẩm nhân dân, Kiểm sát viên cố ý làm sai lệch hồ sơ vụ án hoặc cố ý kết luận trái pháp luật Bản án, quyết định hình sự, hành chính, dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động của Tòa án hoặc quyết định của cơ quan nhà nước mà Tòa án căn cứ vào đó để giải quyết vụ án đã bị hủy bỏ",Điều 352 là một phần quan trọng của hệ thống pháp luật. Làm thế nào để đảm bảo rằng quy trình kháng nghị theo thủ tục tái thẩm được thực hiện một cách minh bạch và công bằng?
320,"Điều 355: Thời hạn kháng nghị theo thủ tục tái thẩm Thời hạn kháng nghị theo thủ tục tái thẩm là 01 năm, kể từ ngày người có thẩm quyền kháng nghị biết được căn cứ để kháng nghị theo thủ tục tái thẩm quy định tại Điều 352 của Bộ luật này","Điều 355 nêu rõ về thời hạn kháng nghị theo thủ tục tái thẩm. Làm thế nào để xác định ngày mà người có thẩm quyền kháng nghị được coi là ""biết được căn cứ để kháng nghị""?"
274,"Điều 197: Phân công Thẩm phán giải quyết vụ án Trên cơ sở báo cáo thụ lý vụ án của Thẩm phán được phân công thụ lý vụ án, Chánh án Tòa án quyết định phân công Thẩm phán giải quyết vụ án bảo đảm nguyên tắc vô tư, khách quan, ngẫu nhiên: Trong thời hạn 03 ngày làm việc, kể từ ngày thụ lý vụ án, Chánh án Tòa án quyết định phân công Thẩm phán giải quyết vụ án: Đối với vụ án phức tạp, việc giải quyết có thể phải kéo dài thì Chánh án Tòa án phân công Thẩm phán dự khuyết để bảo đảm xét xử đúng thời hạn theo quy định của Bộ luật này: Trong quá trình giải quyết vụ án, nếu Thẩm phán được phân công không thể tiếp tục tiến hành được nhiệm vụ thì Chánh án Tòa án phân công Thẩm phán khác tiếp tục nhiệm vụ trường hợp đang xét xử mà không có Thẩm phán dự khuyết thì vụ án phải được xét xử lại từ đầu và Tòa án phải thông báo cho đương sự, Viện kiểm sát cùng cấp","Điều 197 đề cập đến trường hợp không có Thẩm phán dự khuyết. Vậy nếu không có Thẩm phán dự khuyết, vụ án sẽ được xử lý như thế nào?"
68,"Điều 493: Xử lý hành vi cản trở việc cấp, giao, nhận, tống đạt, thông báo văn bản tố tụng của Tòa án Người có một trong các hành vi sau đây thì tuỳ theo tính chất, mức độ vi phạm mà bị xử lý kỷ luật, xử phạt hành chính hoặc bị truy cứu trách nhiệm hình sự theo quy định của pháp luật Không thực hiện việc cấp, giao, tống đạt, thông báo văn bản tố tụng của Tòa án theo yêu cầu của Tòa án mà không có lý do chính đáng Hủy hoại văn bản tố tụng của Tòa án mà mình được giao để cấp, tống đạt, thông báo theo yêu cầu của Tòa án Giả mạo kết quả thực hiện việc tống đạt, thông báo văn bản tố tụng của Tòa án mà mình được giao thực hiện Ngăn cản việc cấp, giao, nhận, tống đạt, thông báo văn bản tố tụng của Tòa án",Cách thức xác định mức độ vi phạm và hình phạt tương ứng đối với các hành vi vi phạm theo điều 493 của pháp luật?
409,"Điều 224: Hình thức bố trí phòng xử án Quốc huy nước Cộng hòa xã hội chủ nghĩa Việt Nam được treo chính giữa phía trên phòng xử án và phía trên chỗ ngồi của Hội đồng xét xử: Phòng xử án phải có các khu vực được bố trí riêng cho Hội đồng xét xử, Kiểm sát viên, Thư ký Tòa án, đương sự, người bảo vệ quyền và lợi ích hợp pháp của đương sự, những người tham gia tố tụng khác và người tham dự phiên tòa",Quy định về việc bố trí phòng xử án và khu vực riêng biệt trong phiên tòa nhằm đảm bảo điều gì?
309,Điều 185: Áp dụng quy định của Bộ luật dân sự về thời hiệu Các quy định của Bộ luật dân sự về thời hiệu được áp dụng trong tố tụng dân sự,Quy định về thời hiệu trong tố tụng dân sự là một phần quan trọng của hệ thống pháp luật. Làm thế nào để đảm bảo rằng quy định này được tuân theo đồng nhất và hiệu quả trong toàn bộ quá trình tố tụng?
230,"Điều 476: Thông báo về việc thụ lý, ngày mở phiên họp, phiên tòa Tòa án phải gửi thông báo thụ lý vụ án, trong đó nêu rõ thời gian, địa điểm mở phiên họp kiểm tra việc giao nộp, tiếp cận, công khai chứng cứ và hòa giải (sau đây gọi chung là phiên họp hòa giải), mở lại phiên họp hòa giải, mở phiên tòa và mở lại phiên tòa trong văn bản thông báo thụ lý vụ án cho đương sự ở nước ngoài: Thời hạn mở phiên tòa, phiên họp hòa giải được xác định như sau Phiên họp hòa giải phải được mở sớm nhất là 06 tháng và chậm nhất là 08 tháng, kể từ ngày ra văn bản thông báo thụ lý vụ án: Ngày mở lại phiên họp hòa giải (nếu có) được ấn định cách ngày mở phiên họp hòa giải chậm nhất là 01 tháng Phiên tòa phải được mở sớm nhất là 09 tháng và chậm nhất là 12 tháng, kể từ ngày ra văn bản thông báo thụ lý vụ án: Ngày mở lại phiên tòa (nếu có) được ấn định cách ngày mở phiên tòa chậm nhất là 01 tháng, trừ trường hợp quy định tại khoản 4 Điều 477 của Bộ luật này: Tòa án phải gửi thông báo thụ lý việc dân sự, trong đó nêu rõ thời gian, địa điểm mở phiên họp, mở lại phiên họp giải quyết việc dân sự trong văn bản thông báo thụ lý việc dân sự cho đương sự ở nước ngoài: Phiên họp phải được mở sớm nhất là 06 tháng và chậm nhất là 08 tháng, kể từ ngày ra văn bản thông báo thụ lý việc dân sự: Ngày mở lại phiên họp giải quyết việc dân sự (nếu có) được ấn định cách ngày mở phiên họp lần đầu chậm nhất là 01 tháng",Tòa án cần thực hiện những nhiệm vụ gì khi gửi thông báo thụ lý vụ án theo Điều 476?
