,context,question,answer
162,"Điều 486: Giải thích, sửa chữa bản án, quyết định của Tòa án Người được thi hành án, người phải thi hành án, người có quyền lợi, nghĩa vụ liên quan đến việc thi hành bản án, quyết định của Tòa án và cơ quan thi hành án có quyền yêu cầu bằng văn bản Tòa án đã ra bản án, quyết định, giải thích, sửa chữa những điểm chưa rõ trong bản án, quyết định để thi hành: Thẩm phán đã ra quyết định hoặc Thẩm phán là chủ tọa phiên tòa có trách nhiệm giải thích, sửa chữa những điểm chưa rõ trong bản án, quyết định của Tòa án: Trường hợp họ không còn là Thẩm phán của Tòa án thì Chánh án Tòa án đó có trách nhiệm giải thích, sửa chữa bản án, quyết định của Tòa án: Việc giải thích bản án, quyết định của Tòa án phải căn cứ vào biên bản phiên tòa, biên bản phiên họp, biên bản nghị án: Việc sửa chữa bản án, quyết định được thực hiện theo quy định tại Điều 268 của Bộ luật này","Quy định về việc sửa chữa bản án, quyết định của Tòa án được thực hiện theo quy định nào?","Việc sửa chữa bản án, quyết định được thực hiện theo quy định tại Điều 268 của Bộ luật này."
41,Điều 167: Chi phí cho người làm chứng Chi phí hợp lý và thực tế cho người làm chứng do đương sự chịu: Người đề nghị Tòa án triệu tập người làm chứng phải chịu tiền chi phí cho người làm chứng nếu lời làm chứng phù hợp với sự thật nhưng không đúng với yêu cầu của người đề nghị: Trường hợp lời làm chứng phù hợp với sự thật và đúng với yêu cầu của người đề nghị triệu tập người làm chứng thì chi phí này do đương sự có yêu cầu độc lập với yêu cầu của người đề nghị chịu,Ai chịu trách nhiệm chi trả chi phí cho người làm chứng nếu lời làm chứng phù hợp với sự thật và đúng với yêu cầu của người đề nghị?,Trường hợp lời làm chứng phù hợp với sự thật và đúng với yêu cầu của người đề nghị triệu tập người làm chứng thì chi phí này do đương sự có yêu cầu độc lập với yêu cầu của người đề nghị chịu.
50,"Điều 234: Nội quy phiên tòa Khi vào phòng xử án, mọi người đều phải chấp hành việc kiểm tra an ninh của lực lượng có trách nhiệm bảo vệ phiên tòa: Nghiêm cấm mang vào phòng xử án vũ khí, hung khí, chất nổ, chất cháy, chất độc, chất phóng xạ, đồ vật cấm lưu hành, truyền đơn, khẩu hiệu và tài liệu, đồ vật khác ảnh hưởng đến sự tôn nghiêm của phiên tòa, trừ vật chứng của vụ án phục vụ cho công tác xét xử hoặc vũ khí, công cụ hỗ trợ được người có thẩm quyền mang theo để làm nhiệm vụ bảo vệ phiên tòa: Người tham gia phiên tòa theo yêu cầu của Tòa án phải xuất trình giấy triệu tập, giấy mời, các giấy tờ có liên quan khác cho Thư ký phiên tòa tại bàn thư ký chậm nhất là 15 phút trước giờ khai mạc phiên tòa và ngồi đúng vị trí trong phòng xử án theo hướng dẫn của Thư ký phiên tòa trường hợp đến muộn thì phải xuất trình giấy triệu tập, giấy mời, các giấy tờ có liên quan khác cho Thư ký phiên tòa thông qua lực lượng làm nhiệm vụ bảo vệ phiên tòa: Nhà báo tham dự phiên tòa để đưa tin về diễn biến phiên tòa phải chấp hành sự điều khiển của chủ tọa phiên tòa về khu vực tác nghiệp: Nhà báo ghi âm lời nói, ghi hình ảnh của Hội đồng xét xử phải được sự đồng ý của chủ tọa phiên tòa: Việc ghi âm lời nói, ghi hình ảnh của đương sự, người tham gia tố tụng khác phải được sự đồng ý của họ: Mọi người tham dự phiên tòa phải có trang phục nghiêm chỉnh có thái độ tôn trọng Hội đồng xét xử, giữ trật tự và tuân theo sự điều khiển của chủ tọa phiên tòa: Không đội mũ, nón, đeo kính màu trong phòng xử án, trừ trường hợp có lý do chính đáng và được sự đồng ý của chủ tọa phiên tòa không sử dụng điện thoại di động, không hút thuốc, không ăn uống trong phòng xử án hoặc có hành vi khác ảnh hưởng đến sự tôn nghiêm của phiên tòa: Người tham gia phiên tòa theo yêu cầu của Tòa án phải có mặt tại phiên tòa trong suốt thời gian xét xử vụ án, trừ trường hợp được chủ tọa phiên tòa đồng ý cho rời khỏi phòng xử án khi có lý do chính đáng: Người dưới mười sáu tuổi không được vào phòng xử án, trừ trường hợp được Tòa án triệu tập tham gia phiên tòa: Mọi người trong phòng xử án phải đứng dậy khi Hội đồng xét xử vào phòng xử án và khi tuyên án, trừ trường hợp đặc biệt được sự đồng ý của chủ tọa phiên tòa: Chỉ những người được Hội đồng xét xử đồng ý mới được hỏi, trả lời hoặc phát biểu: Người hỏi, trả lời hoặc phát biểu phải đứng dậy, trừ trường hợp vì lý do sức khỏe được chủ tọa phiên tòa đồng ý cho ngồi để hỏi, trả lời, phát biểu",Quy định gì về việc kiểm tra an ninh tại phiên tòa?,"Điều 234 quy định rằng khi vào phòng xử án, mọi người phải chấp hành việc kiểm tra an ninh của lực lượng có trách nhiệm bảo vệ phiên tòa."
164,"Điều 236: Biên bản phiên tòa Biên bản phiên tòa phải ghi đầy đủ các nội dung sau đây Các nội dung chính trong quyết định đưa vụ án ra xét xử quy định tại khoản 1 Điều 220 của Bộ luật này Mọi diễn biến tại phiên tòa từ khi bắt đầu cho đến khi kết thúc phiên tòa Các câu hỏi, câu trả lời và phát biểu tại phiên tòa: Ngoài việc ghi biên bản phiên tòa, Hội đồng xét xử có thể thực hiện việc ghi âm, ghi hình về diễn biến phiên tòa: Sau khi kết thúc phiên tòa, chủ toạ phiên tòa phải kiểm tra biên bản và cùng với Thư ký phiên tòa ký biên bản đó: Kiểm sát viên và những người tham gia tố tụng có quyền được xem biên bản phiên tòa ngay sau khi kết thúc phiên tòa, yêu cầu ghi những sửa đổi, bổ sung vào biên bản phiên tòa và ký xác nhận","Hội đồng xét xử có quyền thực hiện việc ghi âm, ghi hình tại phiên tòa không?","Có, ngoài việc ghi biên bản phiên tòa, Hội đồng xét xử có quyền thực hiện việc ghi âm, ghi hình về diễn biến phiên tòa."
18,"Điều 353: Thông báo và xác minh tình tiết mới được phát hiện Đương sự hoặc cơ quan, tổ chức, cá nhân khác có quyền phát hiện tình tiết mới của vụ án và thông báo bằng văn bản cho người có thẩm quyền kháng nghị quy định tại Điều 354 của Bộ luật này: Trường hợp phát hiện tình tiết mới của vụ án, Viện kiểm sát, Tòa án phải thông báo bằng văn bản cho người có thẩm quyền kháng nghị quy định tại Điều 354 của Bộ luật này",Tình tiết mới của vụ án được thông báo bằng phương tiện nào?,Tình tiết mới của vụ án được thông báo bằng văn bản.
146,"Điều 220: Quyết định đưa vụ án ra xét xử Quyết định đưa vụ án ra xét xử phải có các nội dung chính sau đây Ngày, tháng, năm ra quyết định Tên Tòa án ra quyết định Vụ án được đưa ra xét xử Tên, địa chỉ của nguyên đơn, bị đơn hoặc cơ quan, tổ chức, cá nhân khởi kiện quy định tại Điều 187 của Bộ luật này, người có quyền lợi, nghĩa vụ liên quan Họ, tên Thẩm phán, Hội thẩm nhân dân, Thư ký Tòa án họ, tên Thẩm phán, Hội thẩm nhân dân dự khuyết (nếu có) Họ, tên Kiểm sát viên tham gia phiên tòa họ, tên Kiểm sát viên dự khuyết (nếu có) Ngày, giờ, tháng, năm, địa điểm mở phiên tòa Xét xử công khai hoặc xét xử kín Họ, tên người được triệu tập tham gia phiên tòa: Quyết định đưa vụ án ra xét xử phải được gửi cho đương sự và Viện kiểm sát cùng cấp trong thời hạn 03 ngày làm việc, kể từ ngày ra quyết định: Trường hợp Viện kiểm sát tham gia phiên tòa theo quy định tại khoản 2 Điều 21 của Bộ luật này thì Tòa án phải gửi hồ sơ vụ án cùng quyết định đưa vụ án ra xét xử cho Viện kiểm sát cùng cấp trong thời hạn 15 ngày, kể từ ngày nhận được hồ sơ, Viện kiểm sát phải nghiên cứu và trả lại hồ sơ cho Tòa án",Quyết định đưa vụ án ra xét xử cần chứa những thông tin gì?,"Quyết định đưa vụ án ra xét xử cần chứa các thông tin như ngày, tháng, năm ra quyết định, tên Tòa án ra quyết định, vụ án được đưa ra xét xử, tên và địa chỉ của nguyên đơn, bị đơn hoặc cơ quan, tổ chức, cá nhân khởi kiện, người có quyền lợi, nghĩa vụ liên quan, tên thẩm phán, hội thẩm nhân dân, thư ký Tòa án, tên kiểm sát viên tham gia phiên tòa, ngày, giờ, tháng, năm và địa điểm mở phiên tòa, cũng như thông tin về việc xét xử công khai hoặc xét xử kín."
115,"Điều 86: Quyền, nghĩa vụ của người đại diện Người đại diện theo pháp luật trong tố tụng dân sự thực hiện quyền, nghĩa vụ tố tụng dân sự của đương sự trong phạm vi mà mình đại diện: Người đại diện theo ủy quyền trong tố tụng dân sự thực hiện quyền, nghĩa vụ tố tụng dân sự của đương sự theo nội dung văn bản ủy quyền",Tại sao người đại diện theo ủy quyền trong tố tụng dân sự quan trọng?,Người đại diện theo ủy quyền trong tố tụng dân sự quan trọng vì họ thực hiện quyền và nghĩa vụ tố tụng dân sự của đương sự theo ý của đương sự đã ủy quyền.
72,"Điều 37: Thẩm quyền của Tòa án nhân dân cấp tỉnh Tòa án nhân dân cấp tỉnh có thẩm quyền giải quyết theo thủ tục sơ thẩm những vụ việc sau đây Tranh chấp về dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động quy định tại các điều 26, 28, 30 và 32 của Bộ luật này, trừ những tranh chấp thuộc thẩm quyền giải quyết của Tòa án nhân dân cấp huyện quy định tại khoản 1 và khoản 4 Điều 35 của Bộ luật này Yêu cầu về dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động quy định tại các điều 27, 29, 31 và 33 của Bộ luật này, trừ những yêu cầu thuộc thẩm quyền giải quyết của Tòa án nhân dân cấp huyện quy định tại khoản 2 và khoản 4 Điều 35 của Bộ luật này Tranh chấp, yêu cầu quy định tại khoản 3 Điều 35 của Bộ luật này: Tòa án nhân dân cấp tỉnh có thẩm quyền giải quyết theo thủ tục sơ thẩm những vụ việc dân sự thuộc thẩm quyền giải quyết của Tòa án nhân dân cấp huyện quy định tại Điều 35 của Bộ luật này mà Tòa án nhân dân cấp tỉnh tự mình lấy lên để giải quyết khi xét thấy cần thiết hoặc theo đề nghị của Tòa án nhân dân cấp huyện",Thẩm quyền của Tòa án nhân dân cấp tỉnh được định rõ trong trường hợp nào?,"Thẩm quyền của Tòa án nhân dân cấp tỉnh được định rõ trong các trường hợp sau đây: Giải quyết theo thủ tục sơ thẩm những vụ việc tranh chấp về dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động theo quy định tại các điều 26, 28, 30 và 32 của Bộ luật Dân sự, trừ những tranh chấp thuộc thẩm quyền giải quyết của Tòa án nhân dân cấp huyện. Giải quyết theo thủ tục sơ thẩm những vụ việc yêu cầu về dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động theo quy định tại các điều 27, 29, 31 và 33 của Bộ luật Dân sự, trừ những yêu cầu thuộc thẩm quyền giải quyết của Tòa án nhân dân cấp huyện. Giải quyết theo thủ tục sơ thẩm những vụ việc tranh chấp, yêu cầu quy định tại khoản 3 của Điều 35 của Bộ luật Dân sự. Tòa án nhân dân cấp tỉnh có thẩm quyền giải quyết theo thủ tục sơ thẩm những vụ việc dân sự thuộc thẩm quyền giải quyết của Tòa án nhân dân cấp huyện quy định tại Điều 35 của Bộ luật Dân sự mà Tòa án nhân dân cấp tỉnh tự mình lấy lên để giải quyết khi xét thấy cần thiết hoặc theo đề nghị của Tòa án nhân dân cấp huyện."
183,"Điều 144: Xử lý tiền tạm ứng án phí, tiền tạm ứng lệ phí, án phí, lệ phí thu được Toàn bộ án phí, lệ phí thu được phải nộp đầy đủ, kịp thời vào ngân sách nhà nước tại kho bạc nhà nước: Tiền tạm ứng án phí, tiền tạm ứng lệ phí được nộp cho cơ quan thi hành án có thẩm quyền để gửi vào tài khoản tạm giữ mở tại kho bạc nhà nước và được rút ra để thi hành án theo quyết định của Tòa án: Người đã nộp tiền tạm ứng án phí, tiền tạm ứng lệ phí phải chịu án phí, lệ phí thì ngay sau khi bản án, quyết định của Tòa án có hiệu lực pháp luật, số tiền tạm ứng đã thu được phải được nộp vào ngân sách nhà nước: Trường hợp người đã nộp tiền tạm ứng án phí, tiền tạm ứng lệ phí được hoàn trả một phần hoặc toàn bộ số tiền đã nộp theo bản án, quyết định của Tòa án thì cơ quan thi hành án đã thu tiền tạm ứng án phí, tiền tạm ứng lệ phí phải làm thủ tục trả lại tiền cho họ: Trường hợp việc giải quyết vụ việc dân sự bị tạm đình chỉ thì tiền tạm ứng án phí, tiền tạm ứng lệ phí đã nộp được xử lý khi vụ việc được tiếp tục giải quyết","Khi vụ việc dân sự bị tạm đình chỉ, tiền tạm ứng án phí và tiền tạm ứng lệ phí được xử lý như thế nào?",Trường hợp việc giải quyết vụ việc dân sự bị tạm đình chỉ thì tiền tạm ứng án phí và tiền tạm ứng lệ phí đã nộp được xử lý khi vụ việc được tiếp tục giải quyết.
70,"Điều 26: Những tranh chấp về dân sự thuộc thẩm quyền giải quyết của Tòa án Tranh chấp về quốc tịch Việt Nam giữa cá nhân với cá nhân: Tranh chấp về quyền sở hữu và các quyền khác đối với tài sản: Tranh chấp về giao dịch dân sự, hợp đồng dân sự: Tranh chấp về quyền sở hữu trí tuệ, chuyển giao công nghệ, trừ trường hợp quy định tại khoản 2 Điều 30 của Bộ luật này: Tranh chấp về thừa kế tài sản: Tranh chấp về bồi thường thiệt hại ngoài hợp đồng: Tranh chấp về bồi thường thiệt hại do áp dụng biện pháp ngăn chặn hành chính không đúng theo quy định của pháp luật về cạnh tranh, trừ trường hợp yêu cầu bồi thường thiệt hại được giải quyết trong vụ án hành chính: Tranh chấp về khai thác, sử dụng tài nguyên nước, xả thải vào nguồn nước theo quy định của Luật tài nguyên nước: Tranh chấp đất đai theo quy định của pháp luật về đất đai tranh chấp về quyền sở hữu, quyền sử dụng rừng theo quy định của Luật bảo vệ và phát triển rừng: Tranh chấp liên quan đến hoạt động nghiệp vụ báo chí theo quy định của pháp luật về báo chí: Tranh chấp liên quan đến yêu cầu tuyên bố văn bản công chứng vô hiệu: Tranh chấp liên quan đến tài sản bị cưỡng chế để thi hành án theo quy định của pháp luật về thi hành án dân sự: Tranh chấp về kết quả bán đấu giá tài sản, thanh toán phí tổn đăng ký mua tài sản bán đấu giá theo quy định của pháp luật về thi hành án dân sự: Các tranh chấp khác về dân sự, trừ trường hợp thuộc thẩm quyền giải quyết của cơ quan, tổ chức khác theo quy định của pháp luật",Đâu là các loại tranh chấp dân sự mà Tòa án có thẩm quyền giải quyết?,"Tòa án có thẩm quyền giải quyết các loại tranh chấp dân sự sau đây: Tranh chấp về quốc tịch Việt Nam giữa cá nhân với cá nhân. Tranh chấp về quyền sở hữu và các quyền khác đối với tài sản. Tranh chấp về giao dịch dân sự, hợp đồng dân sự. Tranh chấp về quyền sở hữu trí tuệ, chuyển giao công nghệ, trừ trường hợp quy định tại khoản 2 Điều 30 của Bộ luật này. Tranh chấp về thừa kế tài sản. Tranh chấp về bồi thường thiệt hại ngoài hợp đồng. Tranh chấp về bồi thường thiệt hại do áp dụng biện pháp ngăn chặn hành chính không đúng theo quy định của pháp luật về cạnh tranh, trừ trường hợp yêu cầu bồi thường thiệt hại được giải quyết trong vụ án hành chính. Tranh chấp về khai thác, sử dụng tài nguyên nước, xả thải vào nguồn nước theo quy định của Luật tài nguyên nước. Tranh chấp đất đai theo quy định của pháp luật về đất đai. Tranh chấp về quyền sở hữu, quyền sử dụng rừng theo quy định của Luật bảo vệ và phát triển rừng. Tranh chấp liên quan đến hoạt động nghiệp vụ báo chí theo quy định của pháp luật về báo chí. Tranh chấp liên quan đến yêu cầu tuyên bố văn bản công chứng vô hiệu. Tranh chấp liên quan đến tài sản bị cưỡng chế để thi hành án theo quy định của pháp luật về thi hành án dân sự. Tranh chấp về kết quả bán đấu giá tài sản, thanh toán phí tổn đăng ký mua tài sản bán đấu giá theo quy định của pháp luật về thi hành án dân sự. Các tranh chấp khác về dân sự, trừ trường hợp thuộc thẩm quyền giải quyết của cơ quan, tổ chức khác theo quy định của pháp luật."
