,question,answer
13,Có quy định cụ thể nào về hòa giải trong Điều 10 không?,"Điều 10 quy định rằng Tòa án có trách nhiệm tiến hành hòa giải và tạo điều kiện thuận lợi để các đương sự thoả thuận về việc giải quyết vụ việc dân sự, nhưng không cung cấp các quy định cụ thể về quy trình hòa giải."
14,Ai có thể tham gia vào quá trình hòa giải trong tố tụng dân sự?,Thường thì các bên liên quan đến vụ việc dân sự và Tòa án đều có thể tham gia vào quá trình hòa giải.
15,Hòa giải khác biệt với phán quyết tòa án như thế nào?,Hòa giải là quá trình đạt thoả thuận giữa các bên liên quan trong khi phán quyết tòa án là quyết định cuối cùng của Tòa án dựa trên luật pháp.
16,Tòa án có trách nhiệm gì trong việc tạo điều kiện thuận lợi cho hòa giải?,Tòa án có trách nhiệm tạo điều kiện thuận lợi cho hòa giải bằng cách cung cấp các tài liệu và thông tin cần thiết cho các đương sự và thúc đẩy quá trình hòa giải.
17,Hòa giải có ưu điểm gì so với tố tụng truyền thống?,"Hòa giải có ưu điểm là nhanh chóng, tiết kiệm thời gian và tài nguyên so với tố tụng truyền thống, và nó tạo cơ hội cho các đương sự tự quyết định về việc giải quyết vụ việc."
18,Quy định hòa giải trong Điều 10 áp dụng cho loại vụ việc nào?,"Điều 10 áp dụng cho vụ việc dân sự, tức là những tranh chấp liên quan đến quyền và nghĩa vụ dân sự của các bên."
19,Hòa giải có thể không thành công trong trường hợp nào?,Hòa giải có thể không thành công nếu các đương sự không thể đạt được thoả thuận hoặc không đồng tình với kết quả của quá trình hòa giải.
20,Điều 259 nói gì về quyền của Hội đồng xét xử trong việc tạm ngừng phiên tòa?,"Điều 259 quy định rằng Hội đồng xét xử có quyền quyết định tạm ngừng phiên tòa trong những trường hợp như tình trạng sức khỏe, sự kiện bất khả kháng, hoặc trở ngại khách quan, và nó liệt kê các căn cứ cụ thể cho việc tạm ngừng phiên tòa."
21,Khi nào Hội đồng xét xử có quyền tạm ngừng phiên tòa do tình trạng sức khỏe?,Hội đồng xét xử có quyền tạm ngừng phiên tòa do tình trạng sức khỏe khi người tiến hành tố tụng không thể tiếp tục phiên tòa và không thể được thay thế bởi người khác.
22,Tạm ngừng phiên tòa có thể xảy ra do sự kiện bất khả kháng nào?,Tạm ngừng phiên tòa có thể xảy ra do sự kiện bất khả kháng như trở ngại khách quan mà người tiến hành tố tụng không thể tiếp tục phiên tòa.
23,Người tham gia tố tụng có quyền yêu cầu xét xử vắng mặt trong trường hợp nào?,Người tham gia tố tụng có quyền yêu cầu xét xử vắng mặt trong trường hợp họ không thể tham gia vào phiên tòa do lý do nào đó.
24,"Điều 423 quy định gì về việc công nhận và thi hành bản án, quyết định dân sự của Tòa án nước ngoài tại Việt Nam?","Điều 423 quy định rằng các bản án, quyết định dân sự của Tòa án nước ngoài có thể được công nhận và cho thi hành tại Việt Nam dựa trên các nguyên tắc có đi có lại và quy định trong điều ước quốc tế."
25,"Bản án, quyết định nào của Tòa án nước ngoài được xem xét công nhận và cho thi hành tại Việt Nam theo Điều 423?","Theo Điều 423, bản án, quyết định dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động, quyết định về tài sản trong bản án, quyết định hình sự, hành chính của Tòa án nước ngoài được quy định tại điều ước quốc tế mà nước đó và Việt Nam là thành viên có thể được xem xét công nhận và thi hành tại Việt Nam."
26,"Điều 423 áp dụng cho bản án, quyết định nào của Tòa án nước ngoài mà nước đó và Việt Nam không cùng là thành viên của điều ước quốc tế?","Điều 423 áp dụng cho bản án, quyết định dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động quyết định về tài sản trong bản án, quyết định hình sự, hành chính của Tòa án nước ngoài mà nước đó và Việt Nam chưa cùng là thành viên của điều ước quốc tế có quy định về công nhận và cho thi hành bản án, quyết định của Tòa án nước ngoài trên cơ sở nguyên tắc có đi có lại."
27,"Cơ quan nào có thẩm quyền xem xét công nhận và cho thi hành quyết định về nhân thân, hôn nhân và gia đình của nước ngoài tại Việt Nam?","Quyết định về nhân thân, hôn nhân và gia đình của cơ quan khác có thẩm quyền của nước ngoài cũng được xem xét công nhận và cho thi hành tại Việt Nam như bản án, quyết định dân sự của Tòa án nước ngoài quy định tại Điều 423."
28,Quyết định về tài sản trong bản án của Tòa án nước ngoài có được công nhận và cho thi hành tại Việt Nam không?,Quyết định về tài sản trong bản án của Tòa án nước ngoài cũng có thể được công nhận và cho thi hành tại Việt Nam theo Điều 423.
29,"Thời hạn tối đa để xem xét công nhận và cho thi hành bản án, quyết định của Tòa án nước ngoài là bao lâu?","Thời hạn tối đa để xem xét công nhận và cho thi hành bản án, quyết định của Tòa án nước ngoài là không quá 01 tháng, kể từ ngày quyết định của Hội đồng xét xử."
30,"Nếu lý do để tạm ngừng phiên tòa không còn, Hội đồng xét xử thực hiện điều gì?","Nếu lý do để tạm ngừng phiên tòa không còn, Hội đồng xét xử tiếp tục tiến hành phiên tòa."
31,Khi nào Hội đồng xét xử có thể ra quyết định tạm đình chỉ giải quyết vụ án dân sự?,Hội đồng xét xử có thể ra quyết định tạm đình chỉ giải quyết vụ án dân sự khi lý do để tạm ngừng phiên tòa chưa được khắc phục.
32,Chủ tọa phiên tòa làm gì khi khai mạc phiên tòa?,"Điều 239: Chủ tọa phiên tòa kiểm tra lại sự có mặt của những người tham gia phiên tòa theo giấy triệu tập, giấy báo của Tòa án và kiểm tra căn cước của đương sự, người tham gia tố tụng khác."
33,Người làm chứng có nghĩa vụ gì khi tham gia phiên tòa?,"Điều 239: Yêu cầu người làm chứng cam kết khai báo đúng sự thật, nếu khai không đúng phải chịu trách nhiệm trước pháp luật, trừ trường hợp người làm chứng là người chưa thành niên."
34,Lý do chủ tọa phiên tòa phải phổ biến quyền và nghĩa vụ của đương sự và người tham gia tố tụng khác là gì?,"Điều 239: Chủ tọa phiên tòa phổ biến quyền, nghĩa vụ của đương sự và của người tham gia tố tụng khác."
35,Ai là người có quyền yêu cầu thay đổi người tiến hành tố tụng trong phiên tòa?,"Điều 239: Chủ tọa phiên tòa hỏi những người có quyền yêu cầu thay đổi người tiến hành tố tụng, người giám định, người phiên dịch xem họ có yêu cầu thay đổi ai không."
36,Ai phải cam kết cung cấp kết quả giám định chính xác trong phiên tòa?,"Điều 239: Yêu cầu người giám định, người phiên dịch cam kết cung cấp kết quả giám định chính xác, phiên dịch đúng nội dung cần phiên dịch."
37,Người giám định có thể từ chối cung cấp kết quả giám định không?,Điều 239: Người giám định không được từ chối cung cấp kết quả giám định chính xác trong phiên tòa.
38,Làm thế nào để kiểm tra sự có mặt của những người tham gia phiên tòa?,"Điều 239: Chủ tọa phiên tòa kiểm tra lại sự có mặt của những người tham gia phiên tòa theo giấy triệu tập, giấy báo của Tòa án và kiểm tra căn cước của đương sự, người tham gia tố tụng khác."
39,Người phiên dịch có nghĩa vụ gì khi tham gia phiên tòa?,"Điều 239: Yêu cầu người giám định, người phiên dịch cam kết cung cấp kết quả giám định chính xác, phiên dịch đúng nội dung cần phiên dịch."
40,Điều gì xảy ra khi người làm chứng không cam kết khai báo đúng sự thật trong phiên tòa?,"Điều 239: Nếu người làm chứng không cam kết khai báo đúng sự thật, họ phải chịu trách nhiệm trước pháp luật, trừ trường hợp họ là người chưa thành niên."
41,"Ai có trách nhiệm phổ biến quyền, nghĩa vụ của đương sự và người tham gia tố tụng trong phiên tòa?","Điều 239: Chủ tọa phiên tòa phải phổ biến quyền, nghĩa vụ của đương sự và của người tham gia tố tụng."
42,Điều 223 là gì?,"Điều 223 trong Bộ luật là quy định về địa điểm tổ chức phiên tòa, nói rằng phiên tòa có thể tổ chức tại trụ sở Toà án hoặc ngoài trụ sở, nhưng phải tuân theo quy định về tính trang nghiêm và hình thức phòng xử án theo Điều 224."
43,Tại sao phiên tòa có thể tổ chức ngoài trụ sở Toà án?,"Phiên tòa có thể tổ chức ngoài trụ sở Toà án để đảm bảo tính trang nghiêm và hình thức phòng xử án, nhưng điều này phải tuân theo quy định cụ thể tại Điều 224 của Bộ luật."
44,Điều 224 đề cập đến những gì về hình thức phòng xử án?,"Điều 224 trong Bộ luật quy định về hình thức phòng xử án bao gồm việc đảm bảo tính trang nghiêm, sự tôn trọng đối với tòa án, và quy định về việc sắp xếp các bên tham gia phiên tòa."
45,Khi nào thì có thể tổ chức phiên tòa ngoài trụ sở Toà án?,"Phiên tòa có thể tổ chức ngoài trụ sở Toà án khi cần bảo đảm tính trang nghiêm và hình thức phòng xử án, và điều này phải tuân theo quy định tại Điều 224 của Bộ luật."
46,Điều 223 và Điều 224 nằm trong phần nào của Bộ luật?,Điều 223 và Điều 224 nằm trong phần về  Tổ chức phiên tòa  của Bộ luật.
47,Tại sao tính trang nghiêm trong phiên tòa quan trọng?,"Tính trang nghiêm trong phiên tòa quan trọng vì nó đảm bảo sự trang trọng và công bằng của quy trình xử án, đồng thời tạo điều kiện cho mọi bên tham gia cảm thấy được tôn trọng và có cơ hội tham gia công bằng."
48,"Ngoài trụ sở Toà án, phiên tòa có thể tổ chức ở đâu khác?","Ngoài trụ sở Toà án, phiên tòa có thể tổ chức tại các địa điểm khác, như trụ sở công ty hoặc trụ sở cơ quan có liên quan, miễn là tính trang nghiêm và hình thức phòng xử án được bảo đảm."
49,Điều 223 và Điều 224 có áp dụng cho tất cả các loại vụ án không?,"Điều 223 và Điều 224 áp dụng cho hầu hết các loại vụ án, nhưng có thể có các trường hợp đặc biệt được quy định khác trong Bộ luật."
50,Có bất kỳ trường hợp nào mà phiên tòa không phải tuân theo Điều 223 và Điều 224 không?,Có thể có các trường hợp đặc biệt được quy định riêng trong Bộ luật mà phiên tòa không phải tuân theo Điều 223 và Điều 224.
51,Làm thế nào để đảm bảo tính trang nghiêm trong phiên tòa?,"Để đảm bảo tính trang nghiêm trong phiên tòa, cần tuân theo quy định về hình thức phòng xử án, đảm bảo sự tôn trọng đối với tòa án, và giữ cho quy trình xử án trang trọng và công bằng."
52,Điều 271 của Bộ luật đề cập đến quyền gì của người có liên quan đến vụ án dân sự?,"Điều 271 quy định rằng người có quyền kháng cáo bản án sơ thẩm, quyết định tạm đình chỉ giải quyết vụ án dân sự, và quyết định đình chỉ giải quyết vụ án dân sự của Tòa án cấp sơ thẩm có quyền yêu cầu Tòa án cấp phúc thẩm xem xét lại vụ án theo thủ tục phúc thẩm."
53,Khi nào người có quyền kháng cáo theo Điều 271?,Người có quyền kháng cáo theo Điều 271 khi họ không đồng ý với bản án sơ thẩm hoặc quyết định tạm đình chỉ giải quyết vụ án dân sự hoặc quyết định đình chỉ giải quyết vụ án dân sự của Tòa án cấp sơ thẩm.
54,Làm thế nào để yêu cầu Tòa án cấp phúc thẩm giải quyết lại một vụ án theo thủ tục phúc thẩm?,"Để yêu cầu Tòa án cấp phúc thẩm giải quyết lại một vụ án theo thủ tục phúc thẩm, người liên quan phải gửi đơn kháng cáo cho Tòa án cấp phúc thẩm, và đơn này phải nêu rõ lý do và căn cứ để yêu cầu xem xét lại vụ án."
55,Điều 271 áp dụng cho vụ án dân sự loại nào?,"Điều 271 áp dụng cho tất cả các loại vụ án dân sự, không phân biệt loại hình vụ án cụ thể."
56,Người đại diện hợp pháp của đương sự có quyền kháng cáo không?,"Đúng, người đại diện hợp pháp của đương sự cũng có quyền kháng cáo theo Điều 271 nếu họ không đồng ý với quyết định của Tòa án."
57,Làm thế nào để xác định người đại diện hợp pháp của đương sự?,"Người đại diện hợp pháp của đương sự thường được xác định bằng quy trình pháp lý, như bằng chứng từ luật sư hoặc quyết định của tòa án."
58,Người có quyền kháng cáo có thời hạn để yêu cầu xem xét lại vụ án không?,"Thường thì có một thời hạn cụ thể để người có quyền kháng cáo yêu cầu xem xét lại vụ án, nhưng thời hạn này có thể thay đổi tùy theo quy định của pháp luật."
59,Tại sao quyền kháng cáo trong vụ án dân sự quan trọng?,"Quyền kháng cáo trong vụ án dân sự quan trọng vì nó đảm bảo tính công bằng và sự trinh trọng của hệ thống tư pháp, cho phép người liên quan kiểm tra lại quyết định của tòa án sơ thẩm."
60,Cơ quan và tổ chức có quyền kháng cáo theo Điều 271 không?,"Đúng, cơ quan, tổ chức và cá nhân khởi kiện cũng có quyền kháng cáo theo Điều 271 nếu họ không đồng ý với quyết định của tòa án."
61,Làm thế nào để tìm hiểu thêm về quyền kháng cáo theo Điều 271?,"Để tìm hiểu thêm về quyền kháng cáo theo Điều 271, bạn có thể tham khảo Bộ luật hoặc tìm sự tư vấn từ luật sư hoặc chuyên gia pháp lý."
62,"Điều 193 của Bộ luật nói gì về yêu cầu sửa đổi, bổ sung đơn khởi kiện?","Điều 193 quy định rằng trong trường hợp đơn khởi kiện không đủ các nội dung quy định tại khoản 4 Điều 189 của Bộ luật, Thẩm phán sẽ thông báo bằng văn bản những vấn đề cần sửa đổi, bổ sung cho người khởi kiện. Người khởi kiện phải sửa đổi, bổ sung trong thời hạn do Thẩm phán ấn định."
63,"Khi nào Thẩm phán có thể gia hạn thời hạn sửa đổi, bổ sung đơn khởi kiện?","Thẩm phán có thể gia hạn thời hạn sửa đổi, bổ sung đơn khởi kiện trong trường hợp đặc biệt, nhưng không quá 15 ngày."
64,"Làm thế nào để Thẩm phán thông báo về việc sửa đổi, bổ sung đơn khởi kiện?","Thẩm phán có thể thông báo bằng văn bản, gửi trực tuyến, hoặc gửi cho người khởi kiện qua dịch vụ bưu chính. Thông báo này phải ghi chú vào sổ nhận đơn để theo dõi."
65,"Thời hạn thực hiện việc sửa đổi, bổ sung đơn khởi kiện được tính như thế nào?","Thời hạn thực hiện việc sửa đổi, bổ sung đơn khởi kiện không tính vào thời hiệu khởi kiện."
66,"Khi nào Thẩm phán tiếp tục việc thụ lý vụ án sau khi người khởi kiện đã sửa đổi, bổ sung đơn khởi kiện?","Thẩm phán tiếp tục việc thụ lý vụ án sau khi người khởi kiện đã sửa đổi, bổ sung đơn khởi kiện theo đúng quy định tại khoản 4 Điều 189 của Bộ luật."
67,Điều 193 áp dụng cho tất cả các loại vụ án không?,"Điều 193 áp dụng cho tất cả các loại vụ án dân sự, không phân biệt loại hình vụ án cụ thể."
68,"Có trường hợp nào mà Thẩm phán không thông báo việc sửa đổi, bổ sung đơn khởi kiện không?","Thường thì Thẩm phán sẽ thông báo việc sửa đổi, bổ sung đơn khởi kiện khi đơn khởi kiện không đủ nội dung quy định. Tuy nhiên, có thể có trường hợp đặc biệt mà Thẩm phán quyết định không thông báo."
69,Làm thế nào để tìm hiểu thêm về quy định của Điều 193 trong Bộ luật?,"Để tìm hiểu thêm về quy định của Điều 193 trong Bộ luật, bạn có thể tham khảo Bộ luật hoặc tìm sự tư vấn từ luật sư hoặc chuyên gia pháp lý."
70,"Thẩm phán có vai trò gì trong quá trình sửa đổi, bổ sung đơn khởi kiện?","Thẩm phán có vai trò quan trọng trong việc thông báo và theo dõi việc sửa đổi, bổ sung đơn khởi kiện, đảm bảo quy trình diễn ra đúng quy định của Điều 193."
71,"Có thể yêu cầu sửa đổi, bổ sung đơn khởi kiện bất kỳ lúc nào không?","Thường thì yêu cầu sửa đổi, bổ sung đơn khởi kiện phải được thực hiện trong thời hạn do Thẩm phán ấn định. Tuy nhiên, trong trường hợp đặc biệt, Thẩm phán có thể xem xét yêu cầu sửa đổi, bổ sung đơn khởi kiện sau thời hạn nhưng không quá 01 tháng."
72,Điều 30 của Bộ luật quy định về những gì?,"Điều 30 quy định về việc giải quyết các tranh chấp kinh doanh, thương mại, bao gồm những trường hợp nào thuộc thẩm quyền của Tòa án."
73,"Các tranh chấp kinh doanh, thương mại được định nghĩa ra sao theo Điều 30?","Theo Điều 30, các tranh chấp kinh doanh, thương mại bao gồm tranh chấp liên quan đến quyền sở hữu trí tuệ, chuyển giao công nghệ, giao dịch chuyển nhượng phần vốn góp, và nhiều vấn đề khác có liên quan đến hoạt động kinh doanh và thương mại."
74,"Khi nào Tòa án có thẩm quyền giải quyết các tranh chấp kinh doanh, thương mại theo Điều 30?","Tòa án có thẩm quyền giải quyết các tranh chấp kinh doanh, thương mại khi các tranh chấp phát sinh trong hoạt động kinh doanh, thương mại giữa cá nhân, tổ chức có đăng ký kinh doanh với nhau và đều có mục đích lợi nhuận."
75,"Có trường hợp nào mà Tòa án không có thẩm quyền giải quyết các tranh chấp kinh doanh, thương mại theo Điều 30 không?","Tòa án không có thẩm quyền giải quyết các tranh chấp kinh doanh, thương mại khi các trường hợp thuộc thẩm quyền giải quyết của cơ quan, tổ chức khác theo quy định của pháp luật."
76,Tranh chấp về quyền sở hữu trí tuệ thuộc vào loại tranh chấp nào theo Điều 30?,"Tranh chấp về quyền sở hữu trí tuệ thuộc vào loại tranh chấp kinh doanh, thương mại theo Điều 30."
77,"Có bất kỳ trường hợp nào đặc biệt trong việc giải quyết tranh chấp kinh doanh, thương mại theo Điều 30 không?","Điều 30 không đề cập đến việc có bất kỳ trường hợp đặc biệt nào trong việc giải quyết tranh chấp kinh doanh, thương mại. Tuy nhiên, quy định về việc giải quyết tranh chấp cụ thể có thể được áp dụng theo từng trường hợp."
78,Người quản lý trong công ty trách nhiệm hữu hạn có thể khởi kiện công ty không?,"Người quản lý trong công ty trách nhiệm hữu hạn có thể khởi kiện công ty khi có tranh chấp liên quan đến hoạt động, quản lý của công ty."
79,"Cách thức giải quyết tranh chấp kinh doanh, thương mại theo Điều 30 thường như thế nào?","Thường, tranh chấp kinh doanh, thương mại theo Điều 30 sẽ được giải quyết thông qua quy trình tố tụng tại Tòa án với sự tham gia của các bên liên quan và thông qua các văn bản tố tụng phù hợp."
80,Làm thế nào để tìm hiểu thêm về quy định chi tiết của Điều 30 trong Bộ luật?,"Để tìm hiểu thêm về quy định chi tiết của Điều 30 trong Bộ luật, bạn có thể tham khảo Bộ luật hoặc tìm sự tư vấn từ luật sư hoặc chuyên gia pháp lý."
81,"Có trường hợp nào mà tranh chấp kinh doanh, thương mại có thể giải quyết bằng cách khác không?","Trong trường hợp tranh chấp kinh doanh, thương mại, có thể có các phương pháp giải quyết ngoài việc đưa ra tòa án, như đàm phán hoặc trọng tài, tùy thuộc vào thỏa thuận giữa các bên li"
82,Điều 453 của Bộ luật quy định về những gì?,"Điều 453 quy định về giấy tờ, tài liệu gửi kèm theo đơn yêu cầu trong các trường hợp liên quan đến điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên."
83,"Khi nào cần gửi kèm giấy tờ, tài liệu theo đơn yêu cầu?","Giấy tờ, tài liệu cần được gửi kèm theo đơn yêu cầu trong các trường hợp liên quan đến điều ước quốc tế hoặc theo quy định của pháp luật."
84,"Có bất kỳ quy định cụ thể nào về việc gửi kèm giấy tờ, tài liệu theo Điều 453 không?","Điều 453 chỉ định rằng giấy tờ, tài liệu gửi kèm theo đơn yêu cầu phải tuân theo các quy định tại điều ước quốc tế hoặc quy định của pháp luật."
85,"Làm thế nào để biết giấy tờ, tài liệu phải được gửi kèm theo trong trường hợp cụ thể?","Để biết giấy tờ, tài liệu cụ thể nào cần được gửi kèm theo, bạn cần tham khảo điều ước quốc tế hoặc quy định của pháp luật liên quan đến trường hợp đó."
86,"Trong trường hợp giấy tờ, tài liệu bằng tiếng nước ngoài, phải thực hiện thêm bước gì?","Trong trường hợp giấy tờ, tài liệu bằng tiếng nước ngoài, bạn phải gửi kèm theo bản dịch ra tiếng Việt và bản dịch này phải được công chứng hoặc chứng thực hợp pháp."
87,"Có quy định về việc công chứng bản dịch giấy tờ, tài liệu không?","Điều 453 không cụ thể quy định về việc công chứng bản dịch giấy tờ, tài liệu. Tuy nhiên, công chứng bản dịch thường làm cho bản dịch trở nên hợp pháp và được chấp nhận bởi các cơ quan chức năng."
88,"Tòa án có thể từ chối giấy tờ, tài liệu không được gửi kèm theo đúng quy định không?","Tòa án có thể từ chối giấy tờ, tài liệu không được gửi kèm theo đúng quy định hoặc không đáp ứng các yêu cầu cần thiết cho việc giải quyết vụ án."
89,"Trong trường hợp tranh chấp quốc tế, điều ước quốc tế có vai trò gì?","Trong trường hợp tranh chấp quốc tế, điều ước quốc tế sẽ quyết định các quy tắc và quy định áp dụng trong việc giải quyết tranh chấp."
90,"Làm thế nào để biết được giấy tờ, tài liệu cần được gửi kèm theo trong một vụ án cụ thể?","Để biết được giấy tờ, tài liệu cụ thể cần được gửi kèm theo trong một vụ án cụ thể, bạn cần tham khảo quy định của pháp luật liên quan đến loại vụ án đó hoặc tham vấn với luật sư."
91,"Cách thức gửi kèm giấy tờ, tài liệu theo đơn yêu cầu thường như thế nào?","Cách thức gửi kèm giấy tờ, tài liệu theo đơn yêu cầu thường là thông qua quá trình tố tụng tại Tòa án, thông qua đăng ký và trình bày"
92,Điều 342 của Bộ luật quy định về những gì?,"Điều 342 quy định về phạm vi giám đốc thẩm Hội đồng xét xử giám đốc thẩm trong việc xem xét lại phần quyết định của bản án, quyết định đã có hiệu lực pháp luật bị kháng nghị hoặc có liên quan đến việc xem xét nội dung kháng nghị."
93,Hội đồng xét xử giám đốc thẩm có quyền xem xét những phần quyết định nào?,"Hội đồng xét xử giám đốc thẩm có quyền xem xét phần quyết định của bản án, quyết định đã có hiệu lực pháp luật không bị kháng nghị hoặc không liên quan đến việc xem xét nội dung kháng nghị."
94,Khi nào Hội đồng xét xử giám đốc thẩm không có thẩm quyền xem xét một phần quyết định?,"Hội đồng xét xử giám đốc thẩm không có thẩm quyền xem xét phần quyết định của bản án, quyết định đã có hiệu lực pháp luật bị kháng nghị hoặc không liên quan đến việc xem xét nội dung kháng nghị."
95,Tại sao Hội đồng xét xử giám đốc thẩm có quyền xem xét những phần quyết định không liên quan đến việc xem xét nội dung kháng nghị?,"Hội đồng xét xử giám đốc thẩm có quyền xem xét những phần quyết định không liên quan đến việc xem xét nội dung kháng nghị nếu phần quyết định đó xâm phạm đến lợi ích công cộng, lợi ích của Nhà nước, lợi ích của người thứ ba không phải là đương sự trong vụ án."
96,"Khi nào phần quyết định của bản án, quyết định đã có hiệu lực pháp luật có thể bị kháng nghị?","Phần quyết định của bản án, quyết định đã có hiệu lực pháp luật có thể bị kháng nghị trong trường hợp có lý do hợp lệ và theo quy định của pháp luật."
97,Vai trò của Hội đồng xét xử giám đốc thẩm trong việc xem xét lại phần quyết định của bản án là gì?,"Vai trò của Hội đồng xét xử giám đốc thẩm là xem xét lại phần quyết định của bản án, quyết định đã có hiệu lực pháp luật bị kháng nghị hoặc có liên quan đến việc xem xét nội dung kháng nghị để đảm bảo tính công bằng và đúng luật trong quá trình tố tụng."
98,Làm thế nào để đưa ra kháng nghị đối với một phần quyết định của bản án?,"Để đưa ra kháng nghị đối với một phần quyết định của bản án, bạn cần tuân theo quy định của pháp luật và theo quy trình kháng nghị quy định."
99,Điều 69 của Bộ luật quy định về gì?,Điều 69 quy định về năng lực pháp luật tố tụng dân sự và năng lực hành vi tố tụng dân sự của đương sự trong việc tham gia tố tụng dân sự.
100,Năng lực pháp luật tố tụng dân sự là gì?,Năng lực pháp luật tố tụng dân sự là khả năng có các quyền và nghĩa vụ trong tố tụng dân sự do pháp luật quy định.
101,Ai có năng lực pháp luật tố tụng dân sự?,"Mọi cơ quan, tổ chức, cá nhân đều có năng lực pháp luật tố tụng dân sự như nhau trong việc yêu cầu Tòa án bảo vệ quyền và lợi ích hợp pháp của họ."
102,Năng lực hành vi tố tụng dân sự là gì?,Năng lực hành vi tố tụng dân sự là khả năng tự mình thực hiện quyền và nghĩa vụ tố tụng dân sự hoặc ủy quyền cho người đại diện tham gia tố tụng dân sự.
103,Điều kiện nào khiến một người không có năng lực hành vi tố tụng dân sự?,"Người bị hạn chế năng lực hành vi dân sự hoặc có khó khăn trong nhận thức, làm chủ hành vi sẽ không có năng lực hành vi tố tụng dân sự. Năng lực hành vi tố tụng dân sự của họ được xác định theo quyết định của Tòa án."
104,Điều kiện nào khiến một người không có năng lực pháp luật tố tụng dân sự?,Người chưa đủ sáu tuổi hoặc người mất năng lực hành vi dân sự thì không có năng lực pháp luật tố tụng dân sự.
105,Ai là người đại diện hợp pháp cho người không có năng lực hành vi tố tụng dân sự?,"Việc thực hiện quyền, nghĩa vụ tố tụng dân sự của người bị hạn chế năng lực hành vi dân sự hoặc có khó khăn trong nhận thức, làm chủ hành vi sẽ do người đại diện hợp pháp của họ thực hiện, theo quyết định của Tòa án."
